user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,angle,latency,valid,sightType
7,AT004,21,2,right,ID017,right,towards,0,0,311,False,sighted
7,AT004,22,3,left,ID015,left,towards,0,0,223,False,sighted
7,AT004,23,3,left,ID017,right,away,0,0,375,False,sighted
7,AT004,24,2,left,ID015,left,towards,0,0,319,False,sighted
7,AT004,25,1,left,ID017,right,away,0,0,287,False,sighted
7,AT004,26,0,right,ID015,left,away,0,0,223,False,sighted
7,AT004,27,1,right,ID015,left,away,0,0,239,False,sighted
7,AT004,28,2,left,ID017,left,towards,0,0,207,False,sighted
7,AT004,29,3,right,ID015,right,towards,0,0,247,False,sighted
7,AT004,30,1,right,ID017,right,towards,0,0,207,False,sighted
7,AT004,31,3,right,ID017,left,away,0,0,247,False,sighted
7,AT004,32,3,right,ID017,left,away,0,0,479,False,sighted
8,AT004,0,1,left,ID017,left,towards,-28,28,98887,True,sighted
8,AT004,1,0,left,ID017,left,towards,-41,41,5807,False,sighted
8,AT004,2,2,right,ID017,right,towards,45,45,15343,False,sighted
8,AT004,3,2,left,ID017,left,towards,-21,21,4823,True,sighted
8,AT004,4,1,right,ID015,left,away,33,33,3208,True,sighted
8,AT004,5,3,right,ID017,left,away,-21,21,2008,True,sighted
8,AT004,6,2,left,ID017,right,away,-34,34,3520,True,sighted
8,AT004,7,3,left,ID015,left,towards,-40,40,2904,False,sighted
8,AT004,8,1,right,ID017,right,towards,22,22,3496,True,sighted
8,AT004,9,1,left,ID015,right,away,-19,19,3024,True,sighted
8,AT004,10,0,right,ID015,left,away,29,29,4072,True,sighted
8,AT004,11,0,left,ID015,left,towards,-32,32,4512,True,sighted
8,AT004,12,1,left,ID017,right,away,-41,41,5088,False,sighted
8,AT004,13,0,left,ID015,right,away,-42,42,3424,False,sighted
8,AT004,14,3,left,ID015,right,away,-42,42,7392,False,sighted
8,AT004,15,0,left,ID017,right,away,-49,49,4128,False,sighted
8,AT004,16,3,right,ID015,right,towards,57,57,6520,False,sighted
8,AT004,17,3,left,ID017,right,away,-64,64,5696,False,sighted
8,AT004,18,0,right,ID017,left,away,26,26,3280,True,sighted
8,AT004,19,2,left,ID015,right,away,-37,37,3368,True,sighted
8,AT004,20,1,right,ID015,right,towards,42,42,21440,False,sighted
8,AT004,21,3,right,ID017,right,towards,56,56,3807,False,sighted
8,AT004,22,2,right,ID015,right,towards,51,51,3504,False,sighted
8,AT004,23,2,left,ID015,left,towards,-49,49,3479,False,sighted
8,AT004,24,2,right,ID015,left,away,59,59,3783,False,sighted
8,AT004,25,1,right,ID017,left,away,55,55,3527,False,sighted
8,AT004,26,3,right,ID015,left,away,55,55,3439,False,sighted
8,AT004,27,3,left,ID017,left,towards,-57,57,4999,False,sighted
8,AT004,28,1,left,ID015,left,towards,-51,51,3368,False,sighted
8,AT004,29,0,right,ID015,right,towards,36,36,2936,True,sighted
8,AT004,30,2,right,ID017,left,away,56,56,3672,False,sighted
8,AT004,31,0,right,ID017,right,towards,39,39,2856,True,sighted
9,AT004,0,1,left,ID015,left,towards,0,0,61688,False,sighted
9,AT004,1,0,right,ID017,left,away,10,10,14463,True,sighted
9,AT004,2,2,left,ID015,right,away,-15,15,5343,True,sighted
9,AT004,3,0,right,ID015,left,away,9,9,3680,True,sighted
9,AT004,4,2,right,ID017,left,away,15,15,5360,True,sighted
9,AT004,5,2,right,ID017,right,towards,13,13,4609,True,sighted
9,AT004,6,1,right,ID017,left,away,15,15,8176,True,sighted
9,AT004,7,3,left,ID015,right,away,-21,21,4591,True,sighted
9,AT004,8,1,right,ID015,left,away,18,18,3775,True,sighted
9,AT004,9,2,right,ID015,right,towards,8,8,3536,True,sighted
9,AT004,10,1,left,ID017,left,towards,-24,24,2960,True,sighted
9,AT004,11,3,right,ID015,right,towards,23,23,3729,True,sighted
9,AT004,12,1,left,ID015,right,away,-23,23,4863,True,sighted
9,AT004,13,0,right,ID017,right,towards,8,8,2495,True,sighted
9,AT004,14,3,right,ID015,left,away,27,27,2640,True,sighted
9,AT004,15,0,left,ID017,left,towards,-9,9,1999,True,sighted
9,AT004,16,0,left,ID017,right,away,-15,15,2399,True,sighted
9,AT004,17,0,left,ID015,left,towards,-8,8,2655,True,sighted
9,AT004,18,3,left,ID017,right,away,-17,17,2768,True,sighted
9,AT004,19,2,right,ID015,left,away,13,13,3375,True,sighted
9,AT004,20,3,left,ID015,left,towards,-24,24,3136,True,sighted
9,AT004,21,2,left,ID017,right,away,-9,9,2863,True,sighted
9,AT004,22,2,left,ID015,left,towards,-14,14,3520,True,sighted
9,AT004,23,3,left,ID017,left,towards,-20,20,2879,True,sighted
9,AT004,24,3,right,ID017,right,towards,18,18,2736,True,sighted
9,AT004,25,1,left,ID017,right,away,-22,22,2515,True,sighted
9,AT004,26,3,right,ID017,left,away,22,22,2925,True,sighted
9,AT004,27,1,right,ID015,right,towards,23,23,6591,True,sighted
9,AT004,28,2,left,ID017,left,towards,-12,12,3584,True,sighted
9,AT004,29,1,right,ID017,right,towards,23,23,2511,True,sighted
9,AT004,30,0,left,ID015,right,away,-11,11,3538,True,sighted
9,AT004,31,0,right,ID015,right,towards,7,7,1787,True,sighted
10,AT004,0,0,right,ID017,left,away,7,7,117435,True,sighted
10,AT004,1,0,left,ID015,right,away,-7,7,5760,True,sighted
10,AT004,2,2,right,ID015,right,towards,6,6,12097,True,sighted
10,AT004,3,2,left,ID015,right,away,-6,6,3887,True,sighted
10,AT004,4,3,left,ID017,right,away,-12,12,7840,True,sighted
10,AT004,5,0,right,ID015,left,away,6,6,6143,True,sighted
10,AT004,6,1,right,ID015,left,away,14,14,8449,True,sighted
10,AT004,7,1,left,ID015,left,towards,-14,14,6080,True,sighted
10,AT004,8,2,left,ID015,left,towards,-8,8,5488,True,sighted
10,AT004,9,0,right,ID015,right,towards,8,8,6381,True,sighted
10,AT004,10,1,right,ID015,right,towards,12,12,13008,True,sighted
10,AT004,11,2,right,ID017,left,away,8,8,6944,True,sighted
10,AT004,12,3,left,ID017,left,towards,-18,18,5296,True,sighted
10,AT004,13,0,left,ID017,right,away,-6,6,20336,True,sighted
10,AT004,14,1,right,ID017,right,towards,10,10,5009,True,sighted
10,AT004,15,2,right,ID015,left,away,7,7,4624,True,sighted
10,AT004,16,1,left,ID017,left,towards,-10,10,5118,True,sighted
10,AT004,17,3,right,ID017,right,towards,17,17,7024,True,sighted
10,AT004,18,2,right,ID017,right,towards,-8,8,4144,True,sighted
10,AT004,19,0,left,ID015,left,towards,-7,7,4143,True,sighted
10,AT004,20,1,right,ID017,left,away,10,10,4368,True,sighted
10,AT004,21,2,left,ID017,left,towards,-8,8,3808,True,sighted
10,AT004,22,1,left,ID017,right,away,-13,13,6160,True,sighted
10,AT004,23,3,right,ID015,right,towards,14,14,7200,True,sighted
10,AT004,24,3,left,ID015,left,towards,-11,11,14368,True,sighted
10,AT004,25,0,left,ID017,left,towards,-8,8,8526,True,sighted
10,AT004,26,3,left,ID015,right,away,-13,13,11999,True,sighted
10,AT004,27,2,left,ID017,right,away,-9,9,4128,True,sighted
10,AT004,28,0,right,ID017,right,towards,-8,8,3248,True,sighted
10,AT004,29,3,right,ID017,left,away,15,15,43375,True,sighted
10,AT004,30,3,right,ID015,left,away,18,18,8367,True,sighted
10,AT004,31,1,left,ID015,right,away,-13,13,34593,True,sighted
11,AT004,0,0,left,ID017,left,towards,-18,18,7709,True,sighted
11,AT004,1,0,left,ID015,left,towards,-19,19,1952,True,sighted
