user_number,face_id,tubeTypeIndex,pair_type,d
36,ID017,2,FaceRight,3
36,ID017,3,FaceLeft,1
36,ID017,3,FaceRight,1
36,ID015,0,FaceLeft,1
36,ID015,0,FaceRight,1
36,ID015,2,FaceLeft,0
36,ID015,2,FaceRight,0
36,ID015,1,FaceLeft,7
36,ID015,1,FaceRight,2
36,ID015,3,FaceLeft,6
36,ID015,3,FaceRight,2
37,ID017,0,FaceLeft,2
37,ID017,0,FaceRight,3
37,ID017,1,FaceLeft,6
37,ID017,1,FaceRight,2
37,ID017,2,FaceLeft,2
37,ID017,2,FaceRight,5
37,ID017,3,FaceLeft,1
37,ID017,3,FaceRight,1
37,ID015,0,FaceLeft,5
37,ID015,0,FaceRight,0
37,ID015,1,FaceLeft,5
37,ID015,1,FaceRight,2
37,ID015,2,FaceLeft,3
37,ID015,2,FaceRight,0
37,ID015,3,FaceLeft,4
37,ID015,3,FaceRight,6
38,ID015,1,FaceLeft,3
38,ID015,1,FaceRight,16
38,ID015,3,FaceLeft,9
38,ID015,3,FaceRight,5
38,ID015,0,FaceLeft,4
38,ID015,0,FaceRight,2
38,ID015,2,FaceLeft,3
38,ID015,2,FaceRight,4
38,ID017,2,FaceLeft,3
38,ID017,2,FaceRight,13
38,ID017,0,FaceLeft,3
38,ID017,0,FaceRight,1
38,ID017,1,FaceLeft,2
38,ID017,1,FaceRight,0
38,ID017,3,FaceLeft,13
38,ID017,3,FaceRight,2
39,ID017,0,FaceLeft,5
39,ID017,0,FaceRight,7
39,ID017,1,FaceLeft,2
39,ID017,1,FaceRight,1
39,ID017,3,FaceRight,1
39,ID017,2,FaceLeft,4
39,ID017,2,FaceRight,1
39,ID015,0,FaceLeft,1
39,ID015,0,FaceRight,8
39,ID015,1,FaceLeft,11
39,ID015,1,FaceRight,0
39,ID015,2,FaceLeft,3
39,ID015,2,FaceRight,29
39,ID015,3,FaceLeft,4
39,ID015,3,FaceRight,7
40,ID017,2,FaceLeft,22
40,ID017,2,FaceRight,1
40,ID017,3,FaceLeft,3
40,ID017,3,FaceRight,5
40,ID017,1,FaceLeft,2
40,ID017,1,FaceRight,5
40,ID017,0,FaceLeft,1
40,ID017,0,FaceRight,6
40,ID015,2,FaceLeft,12
40,ID015,2,FaceRight,5
40,ID015,3,FaceLeft,10
40,ID015,0,FaceLeft,3
40,ID015,0,FaceRight,3
40,ID015,1,FaceLeft,1
40,ID015,1,FaceRight,3
42,ID015,0,FaceLeft,1
42,ID015,0,FaceRight,1
42,ID015,1,FaceLeft,1
42,ID015,1,FaceRight,11
42,ID015,2,FaceLeft,4
42,ID015,2,FaceRight,0
42,ID015,3,FaceLeft,10
42,ID015,3,FaceRight,22
42,ID017,1,FaceLeft,10
42,ID017,1,FaceRight,10
42,ID017,2,FaceLeft,3
42,ID017,2,FaceRight,5
42,ID017,0,FaceLeft,2
42,ID017,0,FaceRight,1
42,ID017,3,FaceLeft,4
42,ID017,3,FaceRight,12
43,ID017,0,FaceLeft,4
43,ID017,0,FaceRight,5
43,ID017,3,FaceLeft,11
43,ID017,3,FaceRight,8
43,ID017,1,FaceLeft,3
43,ID017,1,FaceRight,12
