user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
5,AT004,29,1,right,ID001,right,towards,6,3367
5,AT004,30,3,left,ID001,right,away,-15,8240
5,AT004,31,2,left,ID022,left,towards,-6,7359
6,AT004,0,1,left,ID001,right,away,-12,26119
6,AT004,1,0,right,ID001,right,towards,-1,294
6,AT004,2,0,right,ID022,left,away,0,256
6,AT004,3,1,left,ID001,left,towards,0,215
6,AT004,4,2,left,ID001,right,away,0,207
6,AT004,5,2,right,ID001,left,away,0,215
6,AT004,6,3,right,ID022,left,away,0,215
6,AT004,7,3,left,ID022,left,towards,0,215
6,AT004,8,2,left,ID022,right,away,0,288
6,AT004,9,3,left,ID001,right,away,0,183
6,AT004,10,0,right,ID001,left,away,0,231
6,AT004,11,2,right,ID022,left,away,0,223
6,AT004,12,3,right,ID001,left,away,0,216
6,AT004,13,0,left,ID022,right,away,-1,206
6,AT004,14,1,right,ID022,right,towards,2,1975
6,AT004,15,3,left,ID001,left,towards,0,279
6,AT004,16,2,left,ID001,left,towards,0,215
6,AT004,17,3,right,ID022,right,towards,1,199
6,AT004,18,1,right,ID022,left,away,0,207
6,AT004,19,0,left,ID001,right,away,0,223
6,AT004,20,3,right,ID001,right,towards,-1,230
6,AT004,21,1,left,ID022,right,away,0,305
6,AT004,22,1,left,ID022,left,towards,0,215
6,AT004,23,1,right,ID001,left,away,0,223
6,AT004,24,0,left,ID022,left,towards,0,207
6,AT004,25,0,left,ID001,left,towards,-1,207
6,AT004,26,2,left,ID022,left,towards,0,231
6,AT004,27,1,right,ID001,right,towards,-1,207
6,AT004,28,3,left,ID022,right,away,0,215
6,AT004,29,2,right,ID001,right,towards,1,215
6,AT004,30,0,right,ID022,right,towards,0,247
6,AT004,31,2,right,ID022,right,towards,0,247
6,AT004,32,2,right,ID022,right,towards,-1,479
6,AT004,33,2,right,ID022,right,towards,-1,718
6,AT004,34,2,right,ID022,right,towards,-2,991
6,AT004,35,2,right,ID022,right,towards,-2,1239
6,AT004,36,2,right,ID022,right,towards,-1,1479
6,AT004,37,2,right,ID022,right,towards,-3,1751
6,AT004,38,2,right,ID022,right,towards,-2,1991
6,AT004,39,2,right,ID022,right,towards,-2,2231
7,AT004,0,3,right,ID022,left,away,0,14318
7,AT004,1,0,right,ID022,right,towards,0,1494
7,AT004,2,3,right,ID001,right,towards,0,1151
7,AT004,3,0,left,ID022,left,towards,0,720
7,AT004,4,0,left,ID001,right,away,0,367
7,AT004,5,1,right,ID001,left,away,0,240
7,AT004,6,2,right,ID001,left,away,0,231
7,AT004,7,3,left,ID001,left,towards,0,479
7,AT004,8,0,left,ID022,right,away,0,247
7,AT004,9,2,left,ID022,right,away,0,231
7,AT004,10,1,left,ID022,left,towards,0,231
7,AT004,11,2,left,ID001,right,away,0,207
7,AT004,12,1,left,ID001,left,towards,0,231
7,AT004,13,1,left,ID022,right,away,0,247
7,AT004,14,0,left,ID001,left,towards,0,351
7,AT004,15,0,right,ID001,left,away,0,1543
7,AT004,16,1,right,ID022,right,towards,0,7056
7,AT004,17,2,right,ID022,left,away,0,319
7,AT004,18,3,left,ID022,right,away,0,319
7,AT004,19,0,right,ID001,right,towards,0,247
7,AT004,20,2,right,ID022,right,towards,0,240
7,AT004,21,2,right,ID001,right,towards,0,311
7,AT004,22,3,left,ID022,left,towards,0,223
7,AT004,23,3,left,ID001,right,away,0,375
7,AT004,24,2,left,ID022,left,towards,0,319
7,AT004,25,1,left,ID001,right,away,0,287
7,AT004,26,0,right,ID022,left,away,0,223
7,AT004,27,1,right,ID022,left,away,0,239
7,AT004,28,2,left,ID001,left,towards,0,207
7,AT004,29,3,right,ID022,right,towards,0,247
7,AT004,30,1,right,ID001,right,towards,0,207
7,AT004,31,3,right,ID001,left,away,0,247
7,AT004,32,3,right,ID001,left,away,0,479
8,AT004,0,1,left,ID001,left,towards,-28,98887
8,AT004,1,0,left,ID001,left,towards,-41,5807
8,AT004,2,2,right,ID001,right,towards,45,15343
8,AT004,3,2,left,ID001,left,towards,-21,4823
8,AT004,4,1,right,ID022,left,away,33,3208
8,AT004,5,3,right,ID001,left,away,-21,2008
8,AT004,6,2,left,ID001,right,away,-34,3520
8,AT004,7,3,left,ID022,left,towards,-40,2904
8,AT004,8,1,right,ID001,right,towards,22,3496
8,AT004,9,1,left,ID022,right,away,-19,3024
8,AT004,10,0,right,ID022,left,away,29,4072
8,AT004,11,0,left,ID022,left,towards,-32,4512
8,AT004,12,1,left,ID001,right,away,-41,5088
8,AT004,13,0,left,ID022,right,away,-42,3424
8,AT004,14,3,left,ID022,right,away,-42,7392
8,AT004,15,0,left,ID001,right,away,-49,4128
8,AT004,16,3,right,ID022,right,towards,57,6520
8,AT004,17,3,left,ID001,right,away,-64,5696
8,AT004,18,0,right,ID001,left,away,26,3280
8,AT004,19,2,left,ID022,right,away,-37,3368
8,AT004,20,1,right,ID022,right,towards,42,21440
8,AT004,21,3,right,ID001,right,towards,56,3807
8,AT004,22,2,right,ID022,right,towards,51,3504
8,AT004,23,2,left,ID022,left,towards,-49,3479
8,AT004,24,2,right,ID022,left,away,59,3783
8,AT004,25,1,right,ID001,left,away,55,3527
8,AT004,26,3,right,ID022,left,away,55,3439
8,AT004,27,3,left,ID001,left,towards,-57,4999
8,AT004,28,1,left,ID022,left,towards,-51,3368
8,AT004,29,0,right,ID022,right,towards,36,2936
8,AT004,30,2,right,ID001,left,away,56,3672
8,AT004,31,0,right,ID001,right,towards,39,2856
9,AT004,0,1,left,ID022,left,towards,0,61688
9,AT004,1,0,right,ID001,left,away,10,14463
9,AT004,2,2,left,ID022,right,away,-15,5343
9,AT004,3,0,right,ID022,left,away,9,3680
9,AT004,4,2,right,ID001,left,away,15,5360
9,AT004,5,2,right,ID001,right,towards,13,4609
9,AT004,6,1,right,ID001,left,away,15,8176
9,AT004,7,3,left,ID022,right,away,-21,4591
9,AT004,8,1,right,ID022,left,away,18,3775
9,AT004,9,2,right,ID022,right,towards,8,3536
9,AT004,10,1,left,ID001,left,towards,-24,2960
9,AT004,11,3,right,ID022,right,towards,23,3729
9,AT004,12,1,left,ID022,right,away,-23,4863
9,AT004,13,0,right,ID001,right,towards,8,2495
9,AT004,14,3,right,ID022,left,away,27,2640
9,AT004,15,0,left,ID001,left,towards,-9,1999
9,AT004,16,0,left,ID001,right,away,-15,2399
9,AT004,17,0,left,ID022,left,towards,-8,2655
9,AT004,18,3,left,ID001,right,away,-17,2768
9,AT004,19,2,right,ID022,left,away,13,3375
9,AT004,20,3,left,ID022,left,towards,-24,3136
